feature,importance,std,direction,signed_importance,ci_low,ci_high
"topic_196 (cambridge, cambridge program, cambridge school)",0.00029940141115242236,0.0001057538223794743,1.0,0.00029940141115242236,0.00022374968397860116,0.00037505313832624356
"topic_228 (desert, desert view, desert heights)",0.0002828629653893966,0.00010307773916185851,-1.0,-0.0002828629653893966,-0.0003566003379524969,-0.00020912559282629635
"topic_186 (miami, dade, school miami)",0.00027293077499350725,9.232424382366747e-05,-1.0,-0.00027293077499350725,-0.0003389755604029191,-0.0002068859895840954
"topic_108 (highland, highlands, highland park)",0.00027115471961874915,0.00011089290201790451,1.0,0.00027115471961874915,0.00019182671633515285,0.00035048272290234546
"topic_168 (german, goethe, germany)",0.0002668644103221873,4.244835334172293e-05,1.0,0.0002668644103221873,0.0002364986876113526,0.00029723013303302204
"topic_160 (brookfield, brook, brook hill)",0.00026680602735426053,7.095777728596766e-05,1.0,0.00026680602735426053,0.000216045891339161,0.00031756616336936006
"topic_53 (st, st mark, mark)",0.00022063089244375166,7.557127934836628e-05,-1.0,-0.00022063089244375166,-0.0002746913290199795,-0.00016657045586752385
"topic_68 (mandarin, chinese, immersion)",0.00020997089567633686,3.9074035979452116e-05,1.0,0.00020997089567633686,0.0001820190141935989,0.0002379227771590748
"topic_130 (liberty, liberty christian, liberty elementary)",0.00019956309731169463,7.992693229417915e-05,-1.0,-0.00019956309731169463,-0.0002567393803027981,-0.00014238681432059112
"topic_51 (lake, lakeview, lakewood)",0.0001973880658243554,2.791110484376308e-05,1.0,0.0001973880658243554,0.00017742166422060488,0.00021735446742810594
"topic_162 (st thomas, thomas, st)",0.00016135770023393282,0.00012421895997394948,-1.0,-0.00016135770023393282,-0.0002502185911059867,-7.249680936187889e-05
"topic_145 (eagle, eagles, eagle academy)",0.00014668919551409366,6.261057629371326e-05,1.0,0.00014668919551409366,0.00010190028737447605,0.0001914781036537113
"topic_191 (ese, esl, ese program)",0.00014462704833740904,5.911669085985475e-05,1.0,0.00014462704833740904,0.00010233751527163418,0.0001869165814031839
"topic_96 (jefferson, jefferson elementary, thomas jefferson)",0.0001353901083194553,5.2613182710900045e-05,-1.0,-0.0001353901083194553,-0.00017302731191772399,-9.775290472118663e-05
"topic_147 (beacon, bridges, bridge)",0.00012786635596055972,6.89467955856312e-05,-1.0,-0.00012786635596055972,-0.0001771879223285074,-7.854478959261205e-05
"topic_170 (37, love 37, 37 great)",0.00012066070044008947,2.0989628712692634e-05,-1.0,-0.00012066070044008947,-0.0001356757762938453,-0.00010564562458633366
"topic_169 (roosevelt, zeta, roosevelt school)",0.00011759050373040258,6.176529339324502e-05,1.0,0.00011759050373040258,7.340627455114878e-05,0.00016177473290965639
"topic_151 (wilson, woodrow, wilson hall)",0.00011207069256699009,8.561390809134261e-05,1.0,0.00011207069256699009,5.0826192165197143e-05,0.00017331519296878305
"topic_197 (notre dame, dame, notre)",0.00010920670377301267,5.917902051712898e-05,-1.0,-0.00010920670377301267,-0.00015154082478956654,-6.68725827564588e-05
